,neighbourhood,lat,lon,year,single_detached_house,apartment_five_storeys_plus,movable_dwelling,semi_detached_house,row_house,duplex,apartment_five_storeys_less,other_house,average_house_value,shelter_costs_owned,shelter_costs_rented
0,Agincourt North,43.80544058,-79.26671217,2001,3715,1480,0,1055,1295,195,185,5,200388,810,870
1,Agincourt South-Malvern West,43.78865755,-79.2656118,2001,3250,1835,0,545,455,105,425,0,203047,806,892
2,Alderwood,43.6049369,-79.54161093,2001,3175,315,0,470,50,185,370,0,259998,817,924
3,Annex,43.67158544,-79.40400062,2001,1060,6090,5,1980,605,275,3710,165,453850,1027,1378
4,Banbury-Don Mills,43.737657,-79.34971798,2001,3615,4465,0,240,380,15,1360,0,371864,1007,1163
5,Bathurst Manor,43.76481331,-79.45605516,2001,2405,1550,0,130,130,375,745,0,304749,843,1052
6,Bay Street Corridor,43.65751135,-79.38572125,2001,10,7575,0,0,15,0,240,0,257404,1218,1142
7,Bayview Village,43.77636052,-79.37711686,2001,2170,630,0,170,765,15,640,0,327644,1197,1164
8,Bayview Woods-Steeles,43.79680187,-79.38211795,2001,1650,1715,0,925,105,10,170,5,343535,1212,1018
9,Bedford Park-Nortown,43.73148623,-79.42022735,2001,4985,2080,0,45,40,210,1235,15,565304,933,1491
10,Beechborough-Greenbrook,43.69321649,-79.47947251,2001,745,715,0,45,20,120,940,5,225369,622,838
11,Bendale,43.76036631,-79.25740037,2001,4385,2015,0,440,220,535,165,0,182957,811,910
12,Birchcliffe-Cliffside,43.69468198,-79.26509259,2001,5470,880,0,430,60,560,1955,10,265705,705,1010
13,Black Creek,43.76489025,-79.52197932,2001,855,4530,0,675,1125,5,85,5,158483,703,802
14,Blake-Jones,43.67617288,-79.33739417,2001,660,505,0,985,455,125,305,55,310740,646,1149
15,Briar Hill-Belgravia,43.69902438,-79.4528513,2001,2010,2430,0,150,0,195,760,10,222086,810,1057
16,Bridle Path-Sunnybrook-York Mills,43.73101314,-79.37890418,2001,2275,110,0,25,15,10,20,0,927466,1983,1790
17,Broadview North,43.68882512,-79.35562951,2001,960,3160,0,465,75,40,795,5,269386,781,1080
18,Brookhaven-Amesbury,43.70132631,-79.48558926,2001,1705,3415,0,265,0,55,435,15,213227,742,927
19,Cabbagetown-South St.James Town,43.66764773,-79.36610666,2001,585,3170,0,470,575,125,790,10,300213,810,1225
20,Caledonia-Fairbank,43.68856865,-79.45521208,2001,1940,175,0,435,10,330,750,5,219771,781,1002
21,Casa Loma,43.6818521,-79.40800665,2001,1035,1700,0,415,190,185,1090,5,596077,1241,1500
22,Centennial Scarborough,43.7823765,-79.15084327,2001,3210,0,0,175,365,35,25,15,249025,937,1053
23,Church-Yonge Corridor,43.65964886,-79.37901717,2001,65,11760,0,50,270,35,1215,30,246750,942,1251
24,Clairlea-Birchmount,43.71359238,-79.28138178,2001,3530,1645,0,825,75,275,520,5,215421,739,1014
25,Clanton Park,43.74197843,-79.44630258,2001,2610,805,5,15,10,445,1235,5,335119,779,1151
26,Cliffcrest,43.72112117,-79.23552957,2001,3515,1375,5,80,275,205,125,5,253618,697,1011
27,Corso Italia-Davenport,43.67766091,-79.44746933,2001,1960,15,0,1730,95,430,1000,30,255142,785,980
28,Danforth,43.68402547,-79.32981941,2001,785,345,0,1685,50,165,870,65,283706,688,1124
29,Danforth-East York,43.68946809,-79.33140338,2001,3320,780,0,1800,25,350,530,85,256205,766,1030
